iter	Passed	Remaining
422	3308	602
423	3316	594
424	3325	586
425	3336	579
426	3343	571
427	3354	564
428	3362	556
429	3371	548
430	3377	540
431	3387	533
432	3393	525
433	3402	517
434	3408	509
435	3418	501
436	3424	493
437	3433	486
438	3439	477
439	3447	470
440	3453	462
441	3461	454
442	3469	446
443	3476	438
444	3483	430
445	3490	422
446	3496	414
447	3504	406
448	3510	398
449	3521	391
450	3527	383
451	3535	375
452	3541	367
453	3549	359
454	3555	351
455	3563	343
456	3570	335
457	3580	328
458	3588	320
459	3597	312
460	3603	304
461	3610	297
462	3618	289
463	3625	281
464	3632	273
465	3639	265
466	3646	257
467	3655	249
468	3660	241
469	3668	234
470	3674	226
471	3682	218
472	3688	210
473	3697	202
474	3702	194
475	3712	187
476	3720	179
477	3729	171
478	3735	163
479	3742	155
480	3749	148
481	3757	140
482	3764	132
483	3773	124
484	3780	116
485	3789	109
486	3796	101
487	3803	93
488	3809	85
489	3818	77
490	3824	70
491	3834	62
492	3842	54
493	3851	46
494	3856	38
495	3863	31
496	3869	23
497	3876	15
498	3882	7
499	3889	0
