iter	Logloss
0	0.6304649491
1	0.5584830816
2	0.5183980586
3	0.4891259753
4	0.4623218343
5	0.4310145545
6	0.4066014793
7	0.3874809814
8	0.3673003343
9	0.3523150742
10	0.3395260277
11	0.3215934357
12	0.3076234442
13	0.2946571586
14	0.2891213138
15	0.2846267858
16	0.276180028
17	0.2644378948
18	0.2609118314
19	0.25667047
20	0.2525855954
21	0.2491710557
22	0.2456996695
23	0.242754333
24	0.2400835106
25	0.2363970159
26	0.2318315574
27	0.2294500898
28	0.2269439992
29	0.2240996047
30	0.2193784204
31	0.2141437313
32	0.211188464
33	0.2090798203
34	0.2069904692
35	0.2057577078
36	0.2040326367
37	0.202008545
38	0.2008419226
39	0.1997895923
40	0.1984445789
41	0.1972092645
42	0.1941464283
43	0.1931285457
44	0.1918907313
45	0.1905863991
46	0.1891681325
47	0.1873528533
48	0.1862334947
49	0.1847413078
50	0.18390428
51	0.1828969317
52	0.1800089562
53	0.1794530338
54	0.1787328512
55	0.1776310617
56	0.176855635
57	0.1754593881
58	0.174364056
59	0.1740174958
60	0.1731341043
61	0.1725460281
62	0.172540611
63	0.1720183407
64	0.1710095537
65	0.169971347
66	0.1691855504
67	0.1691548394
68	0.1688880558
69	0.1681439418
70	0.1674633451
71	0.1668528695
72	0.1661579174
73	0.1640731156
74	0.1634957931
75	0.1628189266
76	0.1622927429
77	0.1617870889
78	0.160887532
79	0.1597762422
80	0.1596292784
81	0.1589369744
82	0.1583339267
83	0.1582132895
84	0.1575085972
85	0.1566491956
86	0.1563372655
87	0.1561957054
88	0.1554278515
89	0.154677673
90	0.1541933394
91	0.1534010998
92	0.1531648368
93	0.152159797
94	0.1521217702
95	0.151453078
96	0.1493056512
97	0.1492290343
98	0.1492178099
99	0.1490110447
100	0.1485528189
101	0.1469544385
102	0.1460898242
103	0.1456329227
104	0.1449557352
105	0.1449091368
106	0.1439865873
107	0.143934561
108	0.1438869266
109	0.14386118
110	0.1438246457
111	0.1437852242
112	0.1427401265
113	0.1417729584
114	0.1411172089
115	0.1403449705
116	0.1402910519
117	0.1399257354
118	0.1399008763
119	0.1398699091
120	0.1374489441
121	0.1374344544
